,id,longitude,latitude,time,NDVI,EVI,DetailedQA,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,ViewZenith,SolarZenith,RelativeAzimuth,DayOfYear,SummaryQA,datetime
0,0,13.462377426636179,53.073589879886484,2001.0,6544.826086956522,3079.086956521739,6673.739130434783,370.2608695652174,1918.608695652174,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
1,1,13.462377426636179,53.073589879886484,2002.0,7270.565217391304,3268.3478260869565,6349.434782608696,301.7826086956522,1911.6521739130435,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
2,2,13.462377426636179,53.073589879886484,2003.0,5972.739130434783,2923.0434782608695,5249.173913043478,643.3478260869565,2124.0434782608695,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
3,3,13.462377426636179,53.073589879886484,2004.0,6831.652173913043,3238.8260869565215,5996.521739130435,360.8695652173913,1952.8695652173913,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
4,4,13.462377426636179,53.073589879886484,2005.0,6989.739130434783,2974.2608695652175,5767.565217391304,334.1304347826087,1785.2608695652175,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
5,0,13.464623214846478,53.073589879886484,2001.0,6544.826086956522,3079.086956521739,6673.739130434783,370.2608695652174,1918.608695652174,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
6,1,13.464623214846478,53.073589879886484,2002.0,7270.565217391304,3268.3478260869565,6349.434782608696,301.7826086956522,1911.6521739130435,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
7,2,13.464623214846478,53.073589879886484,2003.0,5972.739130434783,2923.0434782608695,5249.173913043478,643.3478260869565,2124.0434782608695,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
8,3,13.464623214846478,53.073589879886484,2004.0,6831.652173913043,3238.8260869565215,5996.521739130435,360.8695652173913,1952.8695652173913,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
9,4,13.464623214846478,53.073589879886484,2005.0,6989.739130434783,2974.2608695652175,5767.565217391304,334.1304347826087,1785.2608695652175,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
10,0,13.466869003056777,53.073589879886484,2001.0,6688.347826086957,3036.913043478261,6673.739130434783,353.1304347826087,1855.695652173913,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
11,1,13.466869003056777,53.073589879886484,2002.0,7266.304347826087,3292.1304347826085,6349.434782608696,299.2608695652174,1921.8695652173913,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
12,2,13.466869003056777,53.073589879886484,2003.0,6276.304347826087,3049.1304347826085,5249.173913043478,565.0869565217391,2097.3478260869565,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
13,3,13.466869003056777,53.073589879886484,2004.0,6926.863636363636,3256.181818181818,5996.521739130435,344.1363636363636,1926.0434782608695,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
14,4,13.466869003056777,53.073589879886484,2005.0,7076.913043478261,3085.913043478261,5767.565217391304,329.9130434782609,1842.695652173913,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
15,0,13.469114791267076,53.073589879886484,2001.0,6627.217391304348,2944.478260869565,7213.695652173913,353.04347826086956,1811.4347826086957,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
16,1,13.469114791267076,53.073589879886484,2002.0,7261.95652173913,3351.8695652173915,6277.086956521739,312.0869565217391,1940.0869565217392,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
17,2,13.469114791267076,53.073589879886484,2003.0,6436.304347826087,3224.9565217391305,3629.5652173913045,817.2173913043479,2432.3478260869565,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
18,3,13.469114791267076,53.073589879886484,2004.0,6590.782608695652,3161.304347826087,5767.652173913043,524.6521739130435,2100.5652173913045,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
19,4,13.469114791267076,53.073589879886484,2005.0,7066.478260869565,3038.8260869565215,6951.04347826087,327.30434782608694,1844.695652173913,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
